Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MKLN1	6.70E-114	0.941380514	0.745	0.447	1.11E-109	Astro	MKLN1
MAP3K5	6.88E-114	1.034664055	0.619	0.279	1.15E-109	Astro	MAP3K5
MACF1	1.37E-113	0.792877783	0.853	0.637	2.29E-109	Astro	MACF1
TBL1X	3.05E-113	1.039437856	0.302	0.05	5.07E-109	Astro	TBL1X
ANKDD1A	4.13E-113	1.09486035	0.381	0.091	6.87E-109	Astro	ANKDD1A
CRB1	3.52E-112	1.115925654	0.423	0.116	5.86E-108	Astro	CRB1
DLC1	1.06E-111	1.075404924	0.554	0.199	1.76E-107	Astro	DLC1
CACNB2	1.18E-111	0.866372433	0.842	0.607	1.97E-107	Astro	CACNB2
FYN	2.82E-108	1.042821972	0.587	0.26	4.69E-104	Astro	FYN
DOCK4	4.67E-107	0.913533788	0.733	0.438	7.77E-103	Astro	DOCK4
FMN2	9.03E-107	0.813437968	0.828	0.602	1.50E-102	Astro	FMN2
PLEKHG1	2.62E-103	1.094276531	0.302	0.058	4.36E-99	Astro	PLEKHG1
FGFR2	3.21E-102	0.974781855	0.306	0.059	5.34E-98	Astro	FGFR2
LCNL1	1.41E-101	0.985089399	0.308	0.059	2.34E-97	Astro	LCNL1
PHLPP1	1.01E-100	0.972400358	0.55	0.224	1.68E-96	Astro	PHLPP1
APOE	1.50E-100	1.116639099	0.378	0.098	2.49E-96	Astro	APOE
EGLN3	1.86E-100	1.039289442	0.258	0.04	3.10E-96	Astro	EGLN3
MGST1	1.17E-99	1.007978632	0.373	0.095	1.95E-95	Astro	MGST1
AC109326.1	2.59E-98	1.072802905	0.29	0.054	4.31E-94	Astro	AC109326.1
REPS1	3.19E-98	1.017773522	0.534	0.222	5.30E-94	Astro	REPS1
FHIT	2.61E-97	0.914978827	0.694	0.401	4.34E-93	Astro	FHIT
GLUL	2.74E-97	1.0568909	0.326	0.073	4.57E-93	Astro	GLUL
JARID2	5.54E-95	1.040266829	0.492	0.19	9.21E-91	Astro	JARID2
ABLIM1	1.03E-94	0.93349675	0.618	0.307	1.71E-90	Astro	ABLIM1
DOCK5	3.10E-92	0.862782859	0.322	0.072	5.16E-88	Astro	DOCK5
DNAH7	3.87E-86	1.082989419	0.432	0.159	6.44E-82	Astro	DNAH7
PRKG1	1.05E-84	0.793286316	0.731	0.441	1.74E-80	Astro	PRKG1
LHFP	7.14E-84	1.019490414	0.515	0.226	1.19E-79	Astro	LHFP
PDE7B	1.92E-82	0.954304878	0.495	0.208	3.20E-78	Astro	PDE7B
ADD3	2.89E-81	0.917798703	0.467	0.185	4.80E-77	Astro	ADD3
PTN	6.16E-81	0.897040784	0.294	0.07	1.03E-76	Astro	PTN
SH3RF1	1.84E-80	1.042391914	0.274	0.062	3.06E-76	Astro	SH3RF1
SOX6	3.68E-80	0.790922933	0.495	0.19	6.12E-76	Astro	SOX6
APC	4.60E-80	0.920602842	0.515	0.234	7.65E-76	Astro	APC
KAT2B	9.12E-80	0.849202344	0.332	0.091	1.52E-75	Astro	KAT2B
CPE	1.35E-78	0.969751606	0.514	0.238	2.24E-74	Astro	CPE
WASF3	3.79E-78	0.951342689	0.337	0.099	6.30E-74	Astro	WASF3
GAREM1	3.35E-77	0.921352726	0.49	0.209	5.57E-73	Astro	GAREM1
DST	5.33E-75	0.683019191	0.796	0.624	8.87E-71	Astro	DST
RIN2	1.15E-74	0.856070088	0.288	0.071	1.91E-70	Astro	RIN2
CAMK2G	5.13E-72	0.934290588	0.505	0.242	8.54E-68	Astro	CAMK2G
CACHD1	3.20E-71	0.86658146	0.305	0.086	5.32E-67	Astro	CACHD1
SLC6A11	8.15E-71	0.906993211	0.268	0.066	1.36E-66	Astro	SLC6A11
IQCA1	5.63E-70	0.952406124	0.357	0.125	9.37E-66	Astro	IQCA1
LGR4	6.88E-70	0.930977237	0.267	0.067	1.14E-65	Astro	LGR4
SGCD	5.09E-69	0.775837953	0.678	0.431	8.46E-65	Astro	SGCD
STARD13	2.02E-68	0.919116555	0.411	0.163	3.36E-64	Astro	STARD13
BAZ2B	2.99E-68	0.885906289	0.501	0.246	4.98E-64	Astro	BAZ2B
CDHR3	1.39E-66	0.85001476	0.333	0.108	2.32E-62	Astro	CDHR3
KIF1B	3.68E-66	0.674274355	0.76	0.59	6.13E-62	Astro	KIF1B
SEC14L1	5.44E-66	0.862834913	0.337	0.113	9.05E-62	Astro	SEC14L1
SGK3	5.68E-66	0.870439463	0.379	0.141	9.45E-62	Astro	SGK3
PCSK5	1.19E-64	0.799908764	0.303	0.089	1.98E-60	Astro	PCSK5
CTDSPL	5.46E-64	0.83256524	0.552	0.312	9.08E-60	Astro	CTDSPL
RAD51B	9.02E-64	0.87300461	0.31	0.099	1.50E-59	Astro	RAD51B
EPS15	5.28E-63	0.865535714	0.344	0.122	8.78E-59	Astro	EPS15
GAN	4.98E-62	0.926915833	0.276	0.081	8.28E-58	Astro	GAN
MGLL	1.68E-61	0.90623499	0.317	0.108	2.79E-57	Astro	MGLL
TMEM241	6.19E-61	0.964888212	0.499	0.269	1.03E-56	Astro	TMEM241
CCND3	6.84E-61	0.85929524	0.261	0.072	1.14E-56	Astro	CCND3
STK3	1.01E-60	0.827810999	0.273	0.08	1.68E-56	Astro	STK3
AFF1	2.37E-60	0.872433266	0.338	0.123	3.94E-56	Astro	AFF1
ZFHX3	1.65E-59	0.818307652	0.388	0.157	2.74E-55	Astro	ZFHX3
MAST4	2.00E-59	0.724404277	0.563	0.313	3.32E-55	Astro	MAST4
TRAK1	3.06E-59	0.85675734	0.347	0.131	5.10E-55	Astro	TRAK1
FAM184A	8.42E-59	0.878440273	0.351	0.136	1.40E-54	Astro	FAM184A
DDAH1	4.28E-58	0.862443678	0.397	0.171	7.12E-54	Astro	DDAH1
CPQ	1.18E-57	0.779817391	0.312	0.105	1.96E-53	Astro	CPQ
OTUD7B	2.85E-57	0.824616641	0.282	0.09	4.74E-53	Astro	OTUD7B
ITGB8	3.66E-57	0.810962239	0.322	0.113	6.09E-53	Astro	ITGB8
ADCY2	3.24E-55	0.652911498	0.683	0.489	5.39E-51	Astro	ADCY2
LRP1B	5.29E-53	0.30656674	0.983	0.93	8.81E-49	Astro	LRP1B
MAPK10	5.57E-53	0.478209793	0.856	0.747	9.26E-49	Astro	MAPK10
ARHGAP5	2.72E-51	0.829404449	0.345	0.143	4.53E-47	Astro	ARHGAP5
PALLD	1.20E-50	0.797406879	0.273	0.091	2.00E-46	Astro	PALLD
NAALADL2	1.94E-50	0.776582317	0.472	0.251	3.22E-46	Astro	NAALADL2
LPIN1	5.38E-50	0.81861932	0.355	0.154	8.94E-46	Astro	LPIN1
MAGI2	1.21E-49	0.350693189	0.949	0.909	2.02E-45	Astro	MAGI2
BBS2	5.48E-49	0.754415371	0.333	0.135	9.12E-45	Astro	BBS2
FIGN	4.68E-48	0.769319381	0.262	0.088	7.79E-44	Astro	FIGN
KIAA1671	7.62E-48	0.771469237	0.34	0.144	1.27E-43	Astro	KIAA1671
C1orf21	2.22E-47	0.8263845	0.376	0.18	3.70E-43	Astro	C1orf21
FMNL2	2.76E-47	0.573891127	0.686	0.506	4.60E-43	Astro	FMNL2
GPM6B	6.64E-47	0.668142685	0.672	0.507	1.10E-42	Astro	GPM6B
TTYH1	4.94E-46	0.740573447	0.267	0.094	8.22E-42	Astro	TTYH1
NRG3	1.24E-45	0.276630877	0.993	0.97	2.07E-41	Astro	NRG3
SFMBT2	2.52E-45	0.741593082	0.358	0.161	4.20E-41	Astro	SFMBT2
BAALC	3.59E-45	0.771213261	0.34	0.15	5.98E-41	Astro	BAALC
MGAT4C	1.54E-44	0.470795909	0.692	0.449	2.57E-40	Astro	MGAT4C
GNAQ	6.03E-44	0.609357046	0.625	0.45	1.00E-39	Astro	GNAQ
DOCK7	1.39E-43	0.726040413	0.352	0.162	2.31E-39	Astro	DOCK7
OLFM2	9.30E-42	0.739724533	0.334	0.15	1.55E-37	Astro	OLFM2
PRKD1	1.56E-41	0.704856513	0.343	0.156	2.60E-37	Astro	PRKD1
ECHDC2	3.15E-41	0.668684863	0.332	0.146	5.24E-37	Astro	ECHDC2
FARP1	4.45E-41	0.672259716	0.438	0.241	7.41E-37	Astro	FARP1
ABI1	3.23E-40	0.702973434	0.328	0.148	5.37E-36	Astro	ABI1
PSD3	3.84E-40	0.5911622	0.546	0.357	6.39E-36	Astro	PSD3
ESRRG	4.74E-40	0.694945135	0.478	0.284	7.89E-36	Astro	ESRRG
ANTXR1	3.17E-39	0.723801943	0.274	0.111	5.27E-35	Astro	ANTXR1
FNDC3B	2.11E-38	0.659887011	0.259	0.1	3.51E-34	Astro	FNDC3B
MYO6	2.98E-38	0.636082764	0.444	0.258	4.95E-34	Astro	MYO6
TNRC6A	3.67E-38	0.420254298	0.821	0.722	6.10E-34	Astro	TNRC6A
SORCS2	6.62E-38	0.6888118	0.323	0.147	1.10E-33	Astro	SORCS2
EPHB1	7.77E-38	0.692909769	0.388	0.204	1.29E-33	Astro	EPHB1
ERBIN	1.24E-37	0.661337506	0.373	0.188	2.05E-33	Astro	ERBIN
GRM3	1.77E-37	0.708587979	0.376	0.191	2.94E-33	Astro	GRM3
SLC6A1	3.96E-37	0.638914727	0.285	0.116	6.59E-33	Astro	SLC6A1
BCR	1.46E-36	0.672203017	0.311	0.143	2.42E-32	Astro	BCR
SAMD4A	2.54E-36	0.822469618	0.271	0.114	4.22E-32	Astro	SAMD4A
CHD9	1.78E-35	0.546517686	0.619	0.473	2.96E-31	Astro	CHD9
FUT9	1.90E-35	0.563176741	0.544	0.373	3.17E-31	Astro	FUT9
AKAP13	1.95E-35	0.677842219	0.286	0.125	3.24E-31	Astro	AKAP13
CLEC16A	2.46E-34	0.6389278	0.455	0.283	4.10E-30	Astro	CLEC16A
MAP4	6.09E-34	0.613414186	0.357	0.183	1.01E-29	Astro	MAP4
SPTBN1	6.76E-34	0.592256341	0.524	0.367	1.13E-29	Astro	SPTBN1
KIAA1958	1.85E-33	0.641835524	0.286	0.129	3.08E-29	Astro	KIAA1958
ARRB1	1.90E-33	0.671947662	0.259	0.111	3.17E-29	Astro	ARRB1
CLU	3.52E-33	0.751772672	0.285	0.129	5.86E-29	Astro	CLU
SLC9A9	1.09E-32	0.554454554	0.311	0.143	1.81E-28	Astro	SLC9A9
NCAM1	1.17E-32	0.432326027	0.742	0.627	1.94E-28	Astro	NCAM1
RPS6KA2	2.51E-32	0.520448207	0.607	0.436	4.17E-28	Astro	RPS6KA2
PLPP1	8.88E-32	0.69495449	0.347	0.185	1.48E-27	Astro	PLPP1
CRADD	9.68E-32	0.682949992	0.282	0.132	1.61E-27	Astro	CRADD
RALGAPA2	4.23E-31	0.655527726	0.323	0.167	7.05E-27	Astro	RALGAPA2
CHKA	5.31E-31	0.5800458	0.358	0.19	8.84E-27	Astro	CHKA
ITSN1	1.73E-29	0.619236541	0.433	0.278	2.87E-25	Astro	ITSN1
FOXN3	2.57E-29	0.531638957	0.403	0.236	4.27E-25	Astro	FOXN3
DPH6	3.34E-29	0.637399758	0.32	0.166	5.56E-25	Astro	DPH6
NEO1	7.41E-29	0.617505625	0.373	0.216	1.23E-24	Astro	NEO1
PER3	8.54E-29	0.625482591	0.265	0.126	1.42E-24	Astro	PER3
DCLK2	2.81E-28	0.631647543	0.481	0.334	4.68E-24	Astro	DCLK2
NFAT5	2.89E-28	0.538122838	0.526	0.379	4.81E-24	Astro	NFAT5
CST3	3.40E-27	0.631381972	0.265	0.127	5.65E-23	Astro	CST3
HIBCH	4.08E-27	0.599446441	0.333	0.186	6.80E-23	Astro	HIBCH
NFIB	6.57E-27	0.542205153	0.449	0.291	1.09E-22	Astro	NFIB
FAM171B	9.91E-27	0.583869404	0.322	0.176	1.65E-22	Astro	FAM171B
NT5C2	9.98E-27	0.573026526	0.333	0.185	1.66E-22	Astro	NT5C2
ANK2	7.38E-26	0.306590047	0.883	0.836	1.23E-21	Astro	ANK2
TOM1L2	1.04E-25	0.579105901	0.398	0.254	1.74E-21	Astro	TOM1L2
PDE3B	1.40E-25	0.634618667	0.357	0.213	2.33E-21	Astro	PDE3B
CEP85L	1.42E-25	0.627445892	0.296	0.159	2.37E-21	Astro	CEP85L
SYT17	3.40E-25	0.586375039	0.269	0.135	5.65E-21	Astro	SYT17
FOXO3	7.64E-25	0.613835762	0.356	0.216	1.27E-20	Astro	FOXO3
MXI1	1.02E-24	0.618546352	0.271	0.139	1.70E-20	Astro	MXI1
BMPR1A	3.09E-24	0.611835656	0.256	0.129	5.15E-20	Astro	BMPR1A
SIK3	4.74E-24	0.37140803	0.572	0.433	7.89E-20	Astro	SIK3
TMTC2	2.58E-23	0.428181645	0.472	0.318	4.29E-19	Astro	TMTC2
PNISR	1.26E-22	0.408801	0.612	0.5	2.10E-18	Astro	PNISR
TEAD1	1.40E-22	0.537733459	0.304	0.17	2.33E-18	Astro	TEAD1
HIPK2	5.12E-22	0.511389902	0.255	0.128	8.51E-18	Astro	HIPK2
ARAP2	6.72E-22	0.503433513	0.394	0.254	1.12E-17	Astro	ARAP2
HACD3	2.18E-21	0.558866208	0.302	0.176	3.63E-17	Astro	HACD3
PIP4K2A	2.24E-21	0.388018288	0.273	0.141	3.73E-17	Astro	PIP4K2A
PDE4B	2.29E-21	0.327906841	0.614	0.454	3.81E-17	Astro	PDE4B
CEP350	5.24E-21	0.560669779	0.337	0.209	8.72E-17	Astro	CEP350
IQCK	6.48E-21	0.57453218	0.267	0.147	1.08E-16	Astro	IQCK
RFX3	1.07E-20	0.476196039	0.446	0.311	1.78E-16	Astro	RFX3
NCOA1	1.51E-20	0.372619179	0.643	0.535	2.51E-16	Astro	NCOA1
ZNF518A	2.39E-20	0.54612301	0.316	0.19	3.98E-16	Astro	ZNF518A
DDX17	2.69E-20	0.459698209	0.475	0.35	4.48E-16	Astro	DDX17
PARK2	3.75E-20	0.389662334	0.639	0.552	6.24E-16	Astro	PARK2
PTPN9	2.84E-19	0.574709017	0.269	0.153	4.72E-15	Astro	PTPN9
TTC28	6.26E-19	0.454130163	0.492	0.377	1.04E-14	Astro	TTC28
DPYSL2	7.40E-19	0.487745642	0.414	0.291	1.23E-14	Astro	DPYSL2
PPFIA1	8.05E-19	0.523109746	0.294	0.179	1.34E-14	Astro	PPFIA1
CHST11	1.54E-18	0.441551085	0.329	0.199	2.57E-14	Astro	CHST11
LMO3	3.93E-18	0.500491132	0.274	0.159	6.53E-14	Astro	LMO3
EPS15L1	5.15E-18	0.491222869	0.386	0.266	8.57E-14	Astro	EPS15L1
C14orf159	6.51E-18	0.49736389	0.263	0.152	1.08E-13	Astro	C14orf159
